id,Name,Date_string,Time_string,Event,Status,Latitude,Longitude,MaxiumWind,MinimumPressure,Date,sst,Lat,Long,oni_score,oni_flag
"AL012007","             ANDREA","20070506","1200","  "," EX","35.5","-74","35","1012","2007-05-06","22.99125","36","-74","-0.3","0"
"AL012007","             ANDREA","20070506","1800","  "," EX","35","-73","40","1009","2007-05-06","21.80625","35","-73","-0.3","0"
"AL012007","             ANDREA","20070507","0","  "," EX","34.3","-71.7","50","1005","2007-05-07","21.414999","34","-72","-0.3","0"
"AL012007","             ANDREA","20070507","600","  "," EX","33.3","-72.3","65","998","2007-05-07","20.699999","33","-72","-0.3","0"
"AL012007","             ANDREA","20070507","1200","  "," EX","32.3","-73.1","65","998","2007-05-07","20.180624","32","-73","-0.3","0"
"AL012007","             ANDREA","20070507","1800","  "," EX","31.5","-74","65","998","2007-05-07","21.098125","32","-74","-0.3","0"
"AL012007","             ANDREA","20070508","0","  "," EX","31","-74.9","55","1000","2007-05-08","21.783125","31","-75","-0.3","0"
"AL012007","             ANDREA","20070508","600","  "," EX","30.7","-76","50","1001","2007-05-08","21.114374","31","-76","-0.3","0"
"AL012007","             ANDREA","20070508","1200","  "," EX","30.4","-77.2","50","1001","2007-05-08","23.751875","30","-77","-0.3","0"
"AL012007","             ANDREA","20070508","1800","  "," EX","30.4","-77.9","50","1001","2007-05-08","24.596874","30","-78","-0.3","0"
"AL012007","             ANDREA","20070509","0","  "," EX","30.6","-78.3","50","1001","2007-05-09","24.566875","31","-78","-0.3","0"
"AL012007","             ANDREA","20070509","600","  "," SS","30.8","-78.7","50","1001","2007-05-09","25.1425","31","-79","-0.3","0"
"AL012007","             ANDREA","20070509","1200","  "," SS","30.9","-79.2","45","1003","2007-05-09","25.1425","31","-79","-0.3","0"
"AL012007","             ANDREA","20070509","1800","  "," SS","30.9","-79.6","40","1003","2007-05-09","24.14375","31","-80","-0.3","0"
"AL012007","             ANDREA","20070510","0","  "," SS","30.7","-79.8","40","1003","2007-05-10","24.551874","31","-80","-0.3","0"
"AL012007","             ANDREA","20070510","600","  "," SS","30.5","-79.9","35","1003","2007-05-10","24.550625","30","-80","-0.3","0"
"AL012007","             ANDREA","20070510","1200","  "," SD","30.1","-79.9","30","1003","2007-05-10","24.550625","30","-80","-0.3","0"
"AL012007","             ANDREA","20070510","1800","  "," SD","29.7","-79.8","30","1003","2007-05-10","24.550625","30","-80","-0.3","0"
"AL012007","             ANDREA","20070511","0","  "," SD","29.4","-79.8","30","1004","2007-05-11","25.555624","29","-80","-0.3","0"
"AL012007","             ANDREA","20070511","600","  "," LO","29.1","-79.8","30","1004","2007-05-11","25.555624","29","-80","-0.3","0"
"AL012007","             ANDREA","20070511","1200","  "," LO","28.8","-79.7","25","1005","2007-05-11","25.555624","29","-80","-0.3","0"
"AL012007","             ANDREA","20070511","1800","  "," LO","28.5","-79.5","25","1005","2007-05-11","25.882666","28","-80","-0.3","0"
"AL012007","             ANDREA","20070512","0","  "," LO","28.5","-79.1","25","1006","2007-05-12","25.689375","28","-79","-0.3","0"
"AL012007","             ANDREA","20070512","600","  "," LO","28.8","-78.8","25","1006","2007-05-12","24.82375","29","-79","-0.3","0"
"AL012007","             ANDREA","20070512","1200","  "," LO","29.1","-78.5","25","1006","2007-05-12","23.83375","29","-78","-0.3","0"
"AL012007","             ANDREA","20070512","1800","  "," LO","29.4","-78","25","1006","2007-05-12","23.83375","29","-78","-0.3","0"
"AL012007","             ANDREA","20070513","0","  "," LO","29.7","-77.2","25","1006","2007-05-13","24.043125","30","-77","-0.3","0"
"AL012007","             ANDREA","20070513","600","  "," LO","30.1","-76","25","1006","2007-05-13","23.66375","30","-76","-0.3","0"
"AL012007","             ANDREA","20070513","1200","  "," LO","30.8","-74.2","25","1007","2007-05-13","22.930624","31","-74","-0.3","0"
"AL012007","             ANDREA","20070513","1800","  "," LO","31.4","-71.9","25","1007","2007-05-13","23.054375","31","-72","-0.3","0"
"AL012007","             ANDREA","20070514","0","  "," LO","31.8","-69.4","25","1007","2007-05-14","21.480625","32","-69","-0.3","0"
"AL022007","              BARRY","20070531","0","  "," LO","18.1","-87","25","1008","2007-05-31","29.53125","18","-87","-0.3","0"
"AL022007","              BARRY","20070531","600","  "," LO","18.7","-86.9","25","1007","2007-05-31","29.108124","19","-87","-0.3","0"
"AL022007","              BARRY","20070531","1200","  "," LO","19.1","-86.8","25","1006","2007-05-31","29.108124","19","-87","-0.3","0"
"AL022007","              BARRY","20070531","1800","  "," LO","19.6","-86.6","25","1005","2007-05-31","28.879333","20","-87","-0.3","0"
"AL022007","              BARRY","20070601","0","  "," LO","20.1","-86","25","1005","2007-06-01","28.960625","20","-86","-0.4","0"
"AL022007","              BARRY","20070601","600","  "," LO","21.2","-85.8","25","1005","2007-06-01","28.53125","21","-86","-0.4","0"
"AL022007","              BARRY","20070601","1200","  "," TD","22.3","-85.8","30","1004","2007-06-01","28.316874","22","-86","-0.4","0"
"AL022007","              BARRY","20070601","1800","  "," TS","23.6","-85.7","40","1000","2007-06-01","26.800625","24","-86","-0.4","0"
"AL022007","              BARRY","20070602","0","  "," TS","24.3","-85.2","50","997","2007-06-02","26.746874","24","-85","-0.4","0"
"AL022007","              BARRY","20070602","600","  "," TS","25.1","-84.6","45","998","2007-06-02","25.833124","25","-85","-0.4","0"
"AL022007","              BARRY","20070602","1200","  "," TS","27","-83.2","40","1000","2007-06-02","24.9425","27","-83","-0.4","0"
"AL022007","              BARRY","20070602","1400"," L"," TD","27.5","-82.7","30","1000","2007-06-02","24.396923","28","-83","-0.4","0"
"AL022007","              BARRY","20070602","1800","  "," TD","29.7","-82.1","30","1001","2007-06-02","","30","-82","-0.4","0"
"AL022007","              BARRY","20070603","0","  "," EX","31.4","-81.4","35","997","2007-06-03","24.511333","31","-81","-0.4","0"
"AL022007","              BARRY","20070603","600","  "," EX","32.1","-81","40","994","2007-06-03","24.365","32","-81","-0.4","0"
"AL022007","              BARRY","20070603","1200","  "," EX","32.8","-80","40","994","2007-06-03","24.3375","33","-80","-0.4","0"
"AL022007","              BARRY","20070603","1800","  "," EX","33.7","-78.4","40","994","2007-06-03","23.631817","34","-78","-0.4","0"
"AL022007","              BARRY","20070604","0","  "," EX","35.3","-76","40","992","2007-06-04","24.046667","35","-76","-0.4","0"
"AL022007","              BARRY","20070604","600","  "," EX","37.2","-74.6","40","990","2007-06-04","19.039375","37","-75","-0.4","0"
"AL022007","              BARRY","20070604","1200","  "," EX","39","-73.2","40","990","2007-06-04","16.955624","39","-73","-0.4","0"
"AL022007","              BARRY","20070604","1800","  "," EX","40.7","-72.1","35","991","2007-06-04","13.781538","41","-72","-0.4","0"
"AL022007","              BARRY","20070605","0","  "," EX","42.4","-70.8","35","992","2007-06-05","13.379999","42","-71","-0.4","0"
"AL022007","              BARRY","20070605","600","  "," EX","44.6","-69.5","30","992","2007-06-05","","45","-70","-0.4","0"
"AL022007","              BARRY","20070605","1200","  "," EX","47.5","-68.5","30","992","2007-06-05","","48","-68","-0.4","0"
"AL032007","            CHANTAL","20070731","0","  "," TD","35.5","-66.5","30","1007","2007-07-31","26.369373","36","-66","-0.6","-1"
"AL032007","            CHANTAL","20070731","600","  "," TS","37.1","-65.5","35","1004","2007-07-31","26.414999","37","-66","-0.6","-1"
"AL032007","            CHANTAL","20070731","1200","  "," TS","39.1","-64.2","45","999","2007-07-31","26.245625","39","-64","-0.6","-1"
"AL032007","            CHANTAL","20070731","1800","  "," TS","40.7","-62.3","45","999","2007-07-31","23.065624","41","-62","-0.6","-1"
"AL032007","            CHANTAL","20070801","0","  "," TS","42.5","-60","45","994","2007-08-01","20.945625","42","-60","-0.8","-1"
"AL032007","            CHANTAL","20070801","600","  "," EX","44","-57.5","45","992","2007-08-01","17.3675","44","-58","-0.8","-1"
"AL032007","            CHANTAL","20070801","1200","  "," EX","46","-54.5","55","990","2007-08-01","13.49625","46","-54","-0.8","-1"
"AL032007","            CHANTAL","20070801","1800","  "," EX","49","-49.5","60","988","2007-08-01","11.523125","49","-50","-0.8","-1"
"AL032007","            CHANTAL","20070802","0","  "," EX","53","-43","60","985","2007-08-02","10.546249","53","-43","-0.8","-1"
"AL032007","            CHANTAL","20070802","600","  "," EX","55.5","-38.5","50","975","2007-08-02","10.3625","56","-38","-0.8","-1"
"AL032007","            CHANTAL","20070802","1200","  "," EX","57.5","-35.4","50","970","2007-08-02","9.753124","58","-35","-0.8","-1"
"AL032007","            CHANTAL","20070802","1800","  "," EX","58.6","-33.9","55","967","2007-08-02","11.0356245","59","-34","-0.8","-1"
"AL032007","            CHANTAL","20070803","0","  "," EX","58.9","-32.1","60","964","2007-08-03","11.5175","59","-32","-0.8","-1"
"AL032007","            CHANTAL","20070803","600","  "," EX","58.9","-30.4","60","964","2007-08-03","11.1475","59","-30","-0.8","-1"
"AL032007","            CHANTAL","20070803","1200","  "," EX","58.9","-28","60","964","2007-08-03","11.8793745","59","-28","-0.8","-1"
