id,Name,Date_string,Time_string,Time,Event,Status,Latitude,Longitude,MaxiumWind,MinimumPressure,Date,sst,Lat,Long,oni_score
AL142012,             NADINE,20120910,1200,12:00,  , TD,15.5,-38,25,1008,9/10/2012,27.713123,16,-38,0.3
AL142012,             NADINE,20120910,1800,18:00,  , TD,15.6,-39.4,25,1007,9/10/2012,27.515,16,-39,0.3
AL142012,             NADINE,20120911,0,0:00,  , TD,15.8,-40.8,25,1007,9/11/2012,27.715,16,-41,0.3
AL142012,             NADINE,20120911,600,6:00,  , TD,16,-41.9,25,1007,9/11/2012,28.198124,16,-42,0.3
AL142012,             NADINE,20120911,1200,12:00,  , TD,16.4,-42.8,30,1006,9/11/2012,28.051874,16,-43,0.3
AL142012,             NADINE,20120911,1800,18:00,  , TD,16.9,-43.7,30,1006,9/11/2012,28.07375,17,-44,0.3
AL142012,             NADINE,20120912,0,0:00,  , TS,17.5,-44.8,35,1004,9/12/2012,27.68375,18,-45,0.3
AL142012,             NADINE,20120912,600,6:00,  , TS,18.1,-45.9,45,1001,9/12/2012,27.73625,18,-46,0.3
AL142012,             NADINE,20120912,1200,12:00,  , TS,18.8,-47.1,50,997,9/12/2012,27.994999,19,-47,0.3
AL142012,             NADINE,20120912,1800,18:00,  , TS,19.5,-48.3,55,994,9/12/2012,28.40375,20,-48,0.3
AL142012,             NADINE,20120913,0,0:00,  , TS,20.2,-49.5,60,990,9/13/2012,28.4625,20,-50,0.3
AL142012,             NADINE,20120913,600,6:00,  , TS,21,-50.6,60,990,9/13/2012,28.568125,21,-51,0.3
AL142012,             NADINE,20120913,1200,12:00,  , TS,22,-51.7,60,990,9/13/2012,28.043749,22,-52,0.3
AL142012,             NADINE,20120913,1800,18:00,  , TS,23.2,-52.6,60,989,9/13/2012,28.30625,23,-53,0.3
AL142012,             NADINE,20120914,0,0:00,  , TS,24.4,-53.4,60,989,9/14/2012,27.685,24,-53,0.3
AL142012,             NADINE,20120914,600,6:00,  , TS,25.6,-54,60,987,9/14/2012,27.561874,26,-54,0.3
AL142012,             NADINE,20120914,1200,12:00,  , TS,27,-54,60,986,9/14/2012,27.324375,27,-54,0.3
AL142012,             NADINE,20120914,1800,18:00,  , HU,28.3,-53.7,65,984,9/14/2012,27.585625,28,-54,0.3
